key,itemLabel,itemLabelheb,uri
Q222344,cinematographer,צלם קולנוע,http://www.wikidata.org/entity/Q222344
Q225907,professional revolutionary,Q225907,http://www.wikidata.org/entity/Q225907
Q245068,comedian,קומיקאי,http://www.wikidata.org/entity/Q245068
Q254508,outlaw,פורע חוק,http://www.wikidata.org/entity/Q254508
Q255274,white-collar worker,צווארון לבן,http://www.wikidata.org/entity/Q255274
Q268689,"Jack of all trades, master of none",Q268689,http://www.wikidata.org/entity/Q268689
Q270141,polymath,איש אשכולות,http://www.wikidata.org/entity/Q270141
Q273283,beggar,קבצן,http://www.wikidata.org/entity/Q273283
Q280447,carnival producer,Q280447,http://www.wikidata.org/entity/Q280447
Q285759,insurance broker,סוכן ביטוח,http://www.wikidata.org/entity/Q285759
Q286651,logographer,לוגוגרף,http://www.wikidata.org/entity/Q286651
Q288463,Playboy Bunny,שפנפנת פלייבוי,http://www.wikidata.org/entity/Q288463
Q315247,university student,סטודנט,http://www.wikidata.org/entity/Q315247
Q315625,trainee,Q315625,http://www.wikidata.org/entity/Q315625
Q319544,secretary,Q319544,http://www.wikidata.org/entity/Q319544
Q322170,suffragette,סופרג'יסט,http://www.wikidata.org/entity/Q322170
Q327055,worker,פועל,http://www.wikidata.org/entity/Q327055
Q331432,fisher,דייג,http://www.wikidata.org/entity/Q331432
Q337084,drag queen,דמות דראג,http://www.wikidata.org/entity/Q337084
Q338507,dog behaviourist,Q338507,http://www.wikidata.org/entity/Q338507
Q352388,driver,נהג,http://www.wikidata.org/entity/Q352388
Q356139,proofreader,עורך משנה,http://www.wikidata.org/entity/Q356139
Q363802,doctoral advisor,מנחה לדוקטורט,http://www.wikidata.org/entity/Q363802
Q369456,camp follower,Q369456,http://www.wikidata.org/entity/Q369456
Q372646,mental calculator,גאון חישוב,http://www.wikidata.org/entity/Q372646
Q376924,courtesan,קורטיזנה,http://www.wikidata.org/entity/Q376924
Q381136,shareholder,בעל מניות,http://www.wikidata.org/entity/Q381136
Q381160,expert,מומחה,http://www.wikidata.org/entity/Q381160
Q382887,chinovnik,פקיד ציבורי,http://www.wikidata.org/entity/Q382887
Q385586,disciple,Q385586,http://www.wikidata.org/entity/Q385586
Q386854,drummer,מתופף,http://www.wikidata.org/entity/Q386854
Q388338,treasurer,גזבר,http://www.wikidata.org/entity/Q388338
Q388513,Thai boxer,לוחם איגרוף תאילנדי,http://www.wikidata.org/entity/Q388513
Q388618,hospital pharmacy,Q388618,http://www.wikidata.org/entity/Q388618
Q389565,ticket controller,Q389565,http://www.wikidata.org/entity/Q389565
Q392651,intelligence agent,סוכן מודיעין,http://www.wikidata.org/entity/Q392651
Q419722,Overlord,Q419722,http://www.wikidata.org/entity/Q419722
Q437470,personal care assistant,Q437470,http://www.wikidata.org/entity/Q437470
Q455011,shill,Q455011,http://www.wikidata.org/entity/Q455011
Q455595,amateur,חובבן,http://www.wikidata.org/entity/Q455595
Q460797,unofficial collaborator,Q460797,http://www.wikidata.org/entity/Q460797
Q462390,docent,דוצנט,http://www.wikidata.org/entity/Q462390
Q464705,domestic worker,Q464705,http://www.wikidata.org/entity/Q464705
Q465288,Referendary,Q465288,http://www.wikidata.org/entity/Q465288
Q476246,sailor,שייט,http://www.wikidata.org/entity/Q476246
Q482980,author,מחבר,http://www.wikidata.org/entity/Q482980
Q483501,artist,אמן,http://www.wikidata.org/entity/Q483501
Q484188,serial killer,רוצח סדרתי,http://www.wikidata.org/entity/Q484188
Q484260,guru,גורו,http://www.wikidata.org/entity/Q484260
Q484876,chief executive officer,מנהל כללי,http://www.wikidata.org/entity/Q484876
Q486748,pianist,פסנתרן,http://www.wikidata.org/entity/Q486748
Q486839,member of parliament,חבר פרלמנט,http://www.wikidata.org/entity/Q486839
Q488111,pornographic actor,שחקן פורנוגרפיה,http://www.wikidata.org/entity/Q488111
Q488205,singer-songwriter,זמר-יוצר,http://www.wikidata.org/entity/Q488205
Q497240,master of ceremonies,עורך-מנחה טקסים,http://www.wikidata.org/entity/Q497240
Q497294,lepidopterist,לפידופטרולוג,http://www.wikidata.org/entity/Q497294
Q498642,speech-to-text reporter,Q498642,http://www.wikidata.org/entity/Q498642
Q500251,ship-owner,בעל ספינה,http://www.wikidata.org/entity/Q500251
Q507830,consigliere,קונסיליירי,http://www.wikidata.org/entity/Q507830
Q508230,castaway,Q508230,http://www.wikidata.org/entity/Q508230
Q512314,socialite,אישיות החברה הגבוהה,http://www.wikidata.org/entity/Q512314
Q520548,encomendero,Q520548,http://www.wikidata.org/entity/Q520548
Q522908,Furir,Q522908,http://www.wikidata.org/entity/Q522908
Q537098,fiduciary,Q537098,http://www.wikidata.org/entity/Q537098
Q544972,trombonist,טרומבוניסט,http://www.wikidata.org/entity/Q544972
Q547457,curandero,איש רפואה,http://www.wikidata.org/entity/Q547457
Q553079,caregiver,בן משפחה מטפל,http://www.wikidata.org/entity/Q553079
Q557880,investor,משקיע,http://www.wikidata.org/entity/Q557880
Q558641,thief in law,גנב בחוק,http://www.wikidata.org/entity/Q558641
Q559597,cabinetmaker,בונה ארונות,http://www.wikidata.org/entity/Q559597
Q564612,general counsel,פרקליט כללי,http://www.wikidata.org/entity/Q564612
Q583271,medium,תקשור,http://www.wikidata.org/entity/Q583271
Q587524,bell-ringer,פעמונר,http://www.wikidata.org/entity/Q587524
Q589298,editor-in-chief,עורך ראשי,http://www.wikidata.org/entity/Q589298
Q596759,Malgré-nous,Q596759,http://www.wikidata.org/entity/Q596759
Q599151,official,פקיד ממשל,http://www.wikidata.org/entity/Q599151
Q599898,cacique,קאסיקה,http://www.wikidata.org/entity/Q599898
Q610225,artist and repertoire,Q610225,http://www.wikidata.org/entity/Q610225
Q616856,maiko,Q616856,http://www.wikidata.org/entity/Q616856
Q618532,landlord,Q618532,http://www.wikidata.org/entity/Q618532
Q618536,candidate,מועמד,http://www.wikidata.org/entity/Q618536
Q619851,gunfighter,אקדוחן,http://www.wikidata.org/entity/Q619851
Q625369,mistress,Q625369,http://www.wikidata.org/entity/Q625369
Q627754,Mormon missionary,Q627754,http://www.wikidata.org/entity/Q627754
Q629944,arbitrageur,Q629944,http://www.wikidata.org/entity/Q629944
Q630800,slacker,Q630800,http://www.wikidata.org/entity/Q630800
Q634780,Archiphylax,Q634780,http://www.wikidata.org/entity/Q634780
Q637304,pickup artist,Q637304,http://www.wikidata.org/entity/Q637304
Q639669,musician,מוזיקאי,http://www.wikidata.org/entity/Q639669
Q640375,cavalry master,ריטמייסטר,http://www.wikidata.org/entity/Q640375
Q641208,court clerk,Q641208,http://www.wikidata.org/entity/Q641208
Q650012,engineer of the French Corps of Bridges and Roads,Q650012,http://www.wikidata.org/entity/Q650012
Q651566,hygienist,Q651566,http://www.wikidata.org/entity/Q651566
Q656823,in-home tutor,Q656823,http://www.wikidata.org/entity/Q656823
Q661860,Mukarrib,Q661860,http://www.wikidata.org/entity/Q661860
Q662729,public figure,איש ציבור,http://www.wikidata.org/entity/Q662729
Q674067,mime artist,פנטומימאי,http://www.wikidata.org/entity/Q674067
Q674426,curator,אוצר,http://www.wikidata.org/entity/Q674426
Q678928,sensei,סנסי,http://www.wikidata.org/entity/Q678928
Q691522,construction foreman,Q691522,http://www.wikidata.org/entity/Q691522
Q694116,miller,טוחן,http://www.wikidata.org/entity/Q694116
Q694748,physiotherapist,פיזיותרפיסט,http://www.wikidata.org/entity/Q694748
Q695521,professional hunter,Q695521,http://www.wikidata.org/entity/Q695521
Q702269,professional,Q702269,http://www.wikidata.org/entity/Q702269
Q703310,vote captain,Q703310,http://www.wikidata.org/entity/Q703310
Q703534,employee,מועסק,http://www.wikidata.org/entity/Q703534
Q704255,Karayuki-san,Q704255,http://www.wikidata.org/entity/Q704255
Q708492,council member,חבר מועצה,http://www.wikidata.org/entity/Q708492
Q715679,patent inventor,ממציא פטנטים,http://www.wikidata.org/entity/Q715679
Q716345,Judge royal,Q716345,http://www.wikidata.org/entity/Q716345
Q725098,Burlak,Q725098,http://www.wikidata.org/entity/Q725098
Q728711,Playboy Playmate,נערת פלייבוי,http://www.wikidata.org/entity/Q728711
Q736559,secretary of state,מזכיר מדינה,http://www.wikidata.org/entity/Q736559
Q738142,clerk,פקיד,http://www.wikidata.org/entity/Q738142
Q740406,Beylerbey,ביילרביי,http://www.wikidata.org/entity/Q740406
Q745570,unlawful combatant,לוחם בלתי חוקי,http://www.wikidata.org/entity/Q745570
Q754089,Valide sultan,ולידה סולטאן,http://www.wikidata.org/entity/Q754089
Q758780,gardener,גנן,http://www.wikidata.org/entity/Q758780
Q763779,Protestant reformer,רפורמטור פרוטסטנטי,http://www.wikidata.org/entity/Q763779
Q764176,mud engineer,Q764176,http://www.wikidata.org/entity/Q764176
Q765778,organist,נגן עוגב,http://www.wikidata.org/entity/Q765778
Q767703,breakdancer,Q767703,http://www.wikidata.org/entity/Q767703
Q775318,internaut,Q775318,http://www.wikidata.org/entity/Q775318
Q778274,angel investor,אנג'ל,http://www.wikidata.org/entity/Q778274
Q779458,ascetic,Q779458,http://www.wikidata.org/entity/Q779458
Q779555,Master of the stewards,Q779555,http://www.wikidata.org/entity/Q779555
Q797525,Baghatur,בהאדור,http://www.wikidata.org/entity/Q797525
Q798487,backing vocalist,זמר רקע,http://www.wikidata.org/entity/Q798487
Q805296,ball boy,Q805296,http://www.wikidata.org/entity/Q805296
Q806283,Bandeirantes,בנדייראנטס,http://www.wikidata.org/entity/Q806283
Q806798,banker,בנקאי,http://www.wikidata.org/entity/Q806798
Q808112,barefoot historian,Q808112,http://www.wikidata.org/entity/Q808112
Q808967,barrister,פרקליט,http://www.wikidata.org/entity/Q808967
Q811111,construction officer,Q811111,http://www.wikidata.org/entity/Q811111
Q834316,Nazirite,נזיר,http://www.wikidata.org/entity/Q834316
Q838811,peasant,איכר,http://www.wikidata.org/entity/Q838811
Q843281,hobo,Q843281,http://www.wikidata.org/entity/Q843281
Q843926,child soldier,שימוש צבאי בילדים ובנערים,http://www.wikidata.org/entity/Q843926
Q848466,courier,שליח,http://www.wikidata.org/entity/Q848466
Q850220,buccaneer,שודדי הים הקאריביים,http://www.wikidata.org/entity/Q850220
Q852857,sex worker,עובד מין,http://www.wikidata.org/entity/Q852857
Q855091,guitarist,גיטריסט,http://www.wikidata.org/entity/Q855091
Q860918,Esperantist,אספרנטיסט,http://www.wikidata.org/entity/Q860918
Q864380,biographer,ביוגרף,http://www.wikidata.org/entity/Q864380
Q873750,pickpocketing,כייסות,http://www.wikidata.org/entity/Q873750
Q875146,sysop,Q875146,http://www.wikidata.org/entity/Q875146
Q875592,Japanese studies,לימודי יפן,http://www.wikidata.org/entity/Q875592
Q877944,lay judge,Q877944,http://www.wikidata.org/entity/Q877944
Q881660,whitesmith,Q881660,http://www.wikidata.org/entity/Q881660
Q881836,reserve officer,Q881836,http://www.wikidata.org/entity/Q881836
Q882951,Luftwaffenhelfer,Q882951,http://www.wikidata.org/entity/Q882951
Q885444,bladesmith,Q885444,http://www.wikidata.org/entity/Q885444
Q890103,mule,Q890103,http://www.wikidata.org/entity/Q890103
Q896438,chief firefighter,Q896438,http://www.wikidata.org/entity/Q896438
