Label,itemLabelheb,uri,count,equals
food critic,מבקר מסעדות,http://www.wikidata.org/entity/Q1495660,151,Q1495660
fortune teller,Q8011724,http://www.wikidata.org/entity/Q8011724,84,Q8011724
freediver,צולל חופשי,http://www.wikidata.org/entity/Q17318006,154,Q17318006
freedom fighter,לוחם חופש,http://www.wikidata.org/entity/Q30242234,172,Q30242234
freemason,בונה חופשי,http://www.wikidata.org/entity/Q23305046,342,Q23305046
Frisian handball player,Q21423578,http://www.wikidata.org/entity/Q21423578,60,Q21423578
furniture designer,מעצב רהיטים,http://www.wikidata.org/entity/Q11455387,516,Q11455387
futsal player,שחקן קטרגל,http://www.wikidata.org/entity/Q18515558,1515,Q18515558
Gaelic football player,כדורגלן גאלי,http://www.wikidata.org/entity/Q17351861,1828,Q17351861
gamer,גיימר,http://www.wikidata.org/entity/Q5276395,97,Q5276395
gangster,גנגסטר,http://www.wikidata.org/entity/Q46961,391,Q46961
gardener,גנן,http://www.wikidata.org/entity/Q758780,1211,Q758780
general manager,"מנכ""ל",http://www.wikidata.org/entity/Q1210069,609,Q1210069
general secretary,מזכיר כללי,http://www.wikidata.org/entity/Q6501749,155,Q6501749
Go player,שחקן גו,http://www.wikidata.org/entity/Q12039558,1639,Q12039558
gold miner,מחפש זהב,http://www.wikidata.org/entity/Q19691902,60,Q19691902
golfer,שחקן גולף,http://www.wikidata.org/entity/Q11303721,5353,Q11303721
gothi,Q1501813,http://www.wikidata.org/entity/Q1501813,56,Q1501813
government employee,Q3796928,http://www.wikidata.org/entity/Q3796928,133,Q3796928
graffiti artist,אמן גרפיטי,http://www.wikidata.org/entity/Q15095148,277,Q15095148
grammarian,מדקדק,http://www.wikidata.org/entity/Q15991187,538,Q15991187
guitarist,גיטריסט,http://www.wikidata.org/entity/Q855091,15873,Q855091
gunneur,Q4070283,http://www.wikidata.org/entity/Q4070283,58,Q4070283
gunsmith,Q1371796,http://www.wikidata.org/entity/Q1371796,349,Q1371796
guru,גורו,http://www.wikidata.org/entity/Q484260,74,Q484260
hacker,האקר,http://www.wikidata.org/entity/Q1487,88,Q1487
hairdresser,מעצב שיער,http://www.wikidata.org/entity/Q55187,589,Q55187
harmonicist,נגן מפוחית פה,http://www.wikidata.org/entity/Q20850090,115,Q20850090
harpsichordist,נגן צ'מבלו,http://www.wikidata.org/entity/Q5371902,792,Q5371902
hatter,כובען,http://www.wikidata.org/entity/Q1639239,112,Q1639239
healer,מרפא,http://www.wikidata.org/entity/Q2518689,389,Q2518689
hedge fund manager,Q43423468,http://www.wikidata.org/entity/Q43423468,64,Q43423468
helminthologist,Q27497422,http://www.wikidata.org/entity/Q27497422,314,Q27497422
hermit,Q189829,http://www.wikidata.org/entity/Q189829,168,Q189829
high school student,תיכוניסט,http://www.wikidata.org/entity/Q15360275,539,Q15360275
historian of Modern Age,היסטוריון  העת החדשה,http://www.wikidata.org/entity/Q17489339,1171,Q17489339
HIV/AIDS activist,Q96034777,http://www.wikidata.org/entity/Q96034777,124,Q96034777
Hofmarschall,Q1623209,http://www.wikidata.org/entity/Q1623209,270,Q1623209
holder of the procuration,Q56404221,http://www.wikidata.org/entity/Q56404221,85,Q56404221
homemaker,עקרת בית,http://www.wikidata.org/entity/Q1934684,554,Q1934684
horn player,נגן קרן,http://www.wikidata.org/entity/Q19729565,632,Q19729565
hotel manager,מלונאי,http://www.wikidata.org/entity/Q1631120,509,Q1631120
hotel owner,Q105756071,http://www.wikidata.org/entity/Q105756071,59,Q105756071
housewife,עקרת בית,http://www.wikidata.org/entity/Q38126150,3351,Q38126150
human rights activist,פעיל זכויות אדם,http://www.wikidata.org/entity/Q1476215,3321,Q1476215
humanist,Q10527030,http://www.wikidata.org/entity/Q10527030,173,Q10527030
humanitarian,הומניטר,http://www.wikidata.org/entity/Q22336956,227,Q22336956
hunter,צייד,http://www.wikidata.org/entity/Q1714828,380,Q1714828
hurler,שחקן הרלינג,http://www.wikidata.org/entity/Q18199024,2282,Q18199024
hygienist,Q651566,http://www.wikidata.org/entity/Q651566,375,Q651566
hymnwriter,כותב המנונים,http://www.wikidata.org/entity/Q13424456,1709,Q13424456
Idist,אידואיסט,http://www.wikidata.org/entity/Q27496075,68,Q27496075
immunologist,אימונולוג,http://www.wikidata.org/entity/Q12119633,1438,Q12119633
impostor,מתחזה,http://www.wikidata.org/entity/Q1413522,162,Q1413522
in-home tutor,Q656823,http://www.wikidata.org/entity/Q656823,145,Q656823
industrial designer,מעצב תעשייתי,http://www.wikidata.org/entity/Q11287574,446,Q11287574
industrial engineer,מהנדס תעשייה וניהול,http://www.wikidata.org/entity/Q2267418,385,Q2267418
industrialist,תעשיין,http://www.wikidata.org/entity/Q6606110,3818,"Q6606110,Q42855995"
inker,Q1153051,http://www.wikidata.org/entity/Q1153051,120,Q1153051
Instagram blogger,בלוגר (אינסטגרם),http://www.wikidata.org/entity/Q45217546,50,Q45217546
insurance broker,סוכן ביטוח,http://www.wikidata.org/entity/Q285759,264,Q285759
intelligence agent,סוכן מודיעין,http://www.wikidata.org/entity/Q392651,200,Q392651
intendant,Q6491450,http://www.wikidata.org/entity/Q6491450,246,Q6491450
intern,מתמחה,http://www.wikidata.org/entity/Q4439148,59,Q4439148
Internet celebrity,אושיית רשת,http://www.wikidata.org/entity/Q2045208,436,Q2045208
investigative journalist,עיתונאי חוקר,http://www.wikidata.org/entity/Q15931838,136,Q15931838
investigator,Q30093123,http://www.wikidata.org/entity/Q30093123,51,Q30093123
investor,משקיע,http://www.wikidata.org/entity/Q557880,570,Q557880
ironmaster,Q3303297,http://www.wikidata.org/entity/Q3303297,248,Q3303297
ironmonger,Q21531924,http://www.wikidata.org/entity/Q21531924,56,Q21531924
javelin thrower,מטיל כידון,http://www.wikidata.org/entity/Q18510502,899,Q18510502
jazz bassist,Q64353861,http://www.wikidata.org/entity/Q64353861,183,Q64353861
jazz clarinetist,Q64354837,http://www.wikidata.org/entity/Q64354837,63,Q64354837
jazz drummer,מתופף ג'אז,http://www.wikidata.org/entity/Q61946839,132,Q61946839
jazz guitarist,גיטריסט ג'אז,http://www.wikidata.org/entity/Q6168364,1683,Q6168364
jazz pianist,פסנתרן ג'אז,http://www.wikidata.org/entity/Q61947380,180,Q61947380
jazz saxophonist,סקסופוניסט ג'אז,http://www.wikidata.org/entity/Q64355059,50,Q64355059
jazz singer,זמר ג'אז,http://www.wikidata.org/entity/Q66314404,122,Q66314404
jazz trumpeter,חצוצרן ג'אז,http://www.wikidata.org/entity/Q61947786,85,Q61947786
jihadist,ג'יהאדיסט,http://www.wikidata.org/entity/Q21512362,78,Q21512362
journalist,עיתונאי,http://www.wikidata.org/entity/Q1930187,143731,Q1930187
judoka,ג'ודוקא,http://www.wikidata.org/entity/Q6665249,8046,Q6665249
Kammermusiker,Q1484046,http://www.wikidata.org/entity/Q1484046,54,Q1484046
kapellmeister,קאפלמייסטר,http://www.wikidata.org/entity/Q215793,1209,Q215793
karateka,קראטקה,http://www.wikidata.org/entity/Q9017214,2176,Q9017214
kayaker,קיאקיסט,http://www.wikidata.org/entity/Q16004471,869,Q16004471
khatib,Q932945,http://www.wikidata.org/entity/Q932945,53,Q932945
kickboxer,קיקבוקסר,http://www.wikidata.org/entity/Q11296761,1617,Q11296761
Kirchenmusikdirektor,מנצח מקהלת כנסייה,http://www.wikidata.org/entity/Q1294133,178,Q1294133
KVN actor,שחקן ק.ו.ן,http://www.wikidata.org/entity/Q98925420,151,Q98925420
labor historian,Q40468055,http://www.wikidata.org/entity/Q40468055,60,Q40468055
labor leader,מנהיג פועלים,http://www.wikidata.org/entity/Q50768646,64,Q50768646
laborer,פועל יום,http://www.wikidata.org/entity/Q19862215,82,Q19862215
land owner,בעל אדמה,http://www.wikidata.org/entity/Q1483709,1327,Q1483709
landlord,Q618532,http://www.wikidata.org/entity/Q618532,508,Q618532
landscape painter,צייר נוף,http://www.wikidata.org/entity/Q21600439,765,Q21600439
large estate owner,Q1549283,http://www.wikidata.org/entity/Q1549283,796,Q1549283
leader,מנהיג,http://www.wikidata.org/entity/Q1251441,317,Q1251441
lector,לקטור,http://www.wikidata.org/entity/Q1553123,194,Q1553123
legal scholar,חוקר משפט,http://www.wikidata.org/entity/Q16012028,2125,Q16012028
legislator,מחוקק,http://www.wikidata.org/entity/Q4175034,318,Q4175034
lepidopterist,לפידופטרולוג,http://www.wikidata.org/entity/Q497294,911,Q497294
LGBTQI+ rights activist,"פעיל זכויות להט""ב",http://www.wikidata.org/entity/Q19509201,1318,Q19509201
librarian,ספרן,http://www.wikidata.org/entity/Q182436,17200,Q182436
Liedermacher,לידרמאכר,http://www.wikidata.org/entity/Q956365,206,Q956365
linguist,בלשן,http://www.wikidata.org/entity/Q14467526,18829,Q14467526
liturgist,Q10567966,http://www.wikidata.org/entity/Q10567966,198,Q10567966
llullist,Q23957324,http://www.wikidata.org/entity/Q23957324,51,Q23957324
local government officer,Q107199914,http://www.wikidata.org/entity/Q107199914,84,Q107199914
local historian,היסטוריון מקומי,http://www.wikidata.org/entity/Q1595570,3297,Q1595570
local politician,פוליטיקאי מוניציפלי,http://www.wikidata.org/entity/Q10547393,2351,Q10547393
Lord,לורד,http://www.wikidata.org/entity/Q12826225,230,Q12826225
Lord Mayor,הלורד ראש העיר,http://www.wikidata.org/entity/Q11902879,124,Q11902879
lumberjack,חוטב עצים,http://www.wikidata.org/entity/Q1124183,58,Q1124183
magistrate,Q6731168,http://www.wikidata.org/entity/Q6731168,173,Q6731168
malacologist,מלקולוג,http://www.wikidata.org/entity/Q16271261,1237,Q16271261
mandolinist,נגן מנדולינה,http://www.wikidata.org/entity/Q19723482,366,Q19723482
manual worker,פועל שחור,http://www.wikidata.org/entity/Q12713481,1236,Q12713481
marine biologist,ביולוג ימי,http://www.wikidata.org/entity/Q3640160,1065,Q3640160
martial artist,אמן לחימה,http://www.wikidata.org/entity/Q11124885,1243,Q11124885
mass murderer,רוצח המונים,http://www.wikidata.org/entity/Q15883433,174,Q15883433
master craftsman,Q1284709,http://www.wikidata.org/entity/Q1284709,275,Q1284709
master of ceremonies,עורך-מנחה טקסים,http://www.wikidata.org/entity/Q497240,202,Q497240
mayor,ראש עירייה,http://www.wikidata.org/entity/Q30185,3940,Q30185
media personality,איש תקשורת,http://www.wikidata.org/entity/Q1885941,196,Q1885941
medical administrator,Q26832546,http://www.wikidata.org/entity/Q26832546,89,Q26832546
medical specialist,Q3332438,http://www.wikidata.org/entity/Q3332438,129,Q3332438
medieval archaeologist,Q52231239,http://www.wikidata.org/entity/Q52231239,153,Q52231239
medium,תקשור,http://www.wikidata.org/entity/Q583271,89,Q583271
member of parliament,חבר פרלמנט,http://www.wikidata.org/entity/Q486839,1463,Q486839
mentor,מנטור,http://www.wikidata.org/entity/Q16515647,53,Q16515647
middle school student,תלמיד חטיבה,http://www.wikidata.org/entity/Q16003532,50,Q16003532
midwife,מיילדת,http://www.wikidata.org/entity/Q185196,718,Q185196
militant,מיליטנטי,http://www.wikidata.org/entity/Q17010072,218,Q17010072
military athlete,Q2312865,http://www.wikidata.org/entity/Q2312865,76,Q2312865
military historian,היסטוריון צבאי,http://www.wikidata.org/entity/Q1493121,1053,Q1493121
military personnel,איש צבא,http://www.wikidata.org/entity/Q47064,83831,"Q47064,Q19934710,Q38239859"
miller,טוחן,http://www.wikidata.org/entity/Q694116,260,Q694116
mime artist,פנטומימאי,http://www.wikidata.org/entity/Q674067,323,Q674067
mind gamer,Q61747890,http://www.wikidata.org/entity/Q61747890,1542,Q61747890
minister,שר,http://www.wikidata.org/entity/Q83307,1452,Q83307
mintmaster,Q1463475,http://www.wikidata.org/entity/Q1463475,847,Q1463475
mistress,Q625369,http://www.wikidata.org/entity/Q625369,62,Q625369
mobster,Q1404030,http://www.wikidata.org/entity/Q1404030,140,Q1404030
modiste,Q18199649,http://www.wikidata.org/entity/Q18199649,95,Q18199649
monarch,מונרך,http://www.wikidata.org/entity/Q116,3466,Q116
motocross rider,Q12327806,http://www.wikidata.org/entity/Q12327806,395,Q12327806
motorcycle trials rider,Q24259627,http://www.wikidata.org/entity/Q24259627,131,Q24259627
mountain biker,רוכב אופני הרים,http://www.wikidata.org/entity/Q19799599,444,Q19799599
mufassir,מופסיר,http://www.wikidata.org/entity/Q12912932,175,Q12912932
mui tsai,Q1951959,http://www.wikidata.org/entity/Q1951959,68,Q1951959
multi-instrumentalist,רב־נגן,http://www.wikidata.org/entity/Q1327329,334,Q1327329
murderer,רוצח,http://www.wikidata.org/entity/Q931260,445,Q931260
museum professional,Q47090899,http://www.wikidata.org/entity/Q47090899,340,Q47090899
music executive,מנהל מוזיקה,http://www.wikidata.org/entity/Q3089940,838,Q3089940
music publicist,Q108333755,http://www.wikidata.org/entity/Q108333755,83,Q108333755
musician,מוזיקאי,http://www.wikidata.org/entity/Q639669,86657,"Q639669,Q101084010,Q104224753,Q105755601,Q42303786,Q63243029,Q67158337,Q67200506,Q81558583,Q98523719,Q1294626,Q3197853,Q5358395,Q15981151,Q66763670,Q29017403"
musicographer,Q61996872,http://www.wikidata.org/entity/Q61996872,277,Q61996872
myriapodologist,Q27924982,http://www.wikidata.org/entity/Q27924982,180,Q27924982
mystic,מיסטיקן,http://www.wikidata.org/entity/Q12328016,346,Q12328016
mythographer,מיתוגרף,http://www.wikidata.org/entity/Q24387326,179,Q24387326
nanny,אומנת,http://www.wikidata.org/entity/Q936969,237,Q936969
narrator,דובר,http://www.wikidata.org/entity/Q58363586,861,Q58363586
naturalist,חוקר טבע,http://www.wikidata.org/entity/Q18805,4148,Q18805
naval architect,מהנדס ימי,http://www.wikidata.org/entity/Q1644847,192,Q1644847
nematologist,Q21491495,http://www.wikidata.org/entity/Q21491495,204,Q21491495
newspaper proprietor,Q24266767,http://www.wikidata.org/entity/Q24266767,343,Q24266767
nightclub owner,בעל מועדון לילה,http://www.wikidata.org/entity/Q22810659,102,Q22810659
Norwegian public servant,Q11993231,http://www.wikidata.org/entity/Q11993231,92,Q11993231
nurse,אח,http://www.wikidata.org/entity/Q186360,5689,Q186360
oboist,אבובן,http://www.wikidata.org/entity/Q16003954,714,Q16003954
occultist,Q12797895,http://www.wikidata.org/entity/Q12797895,114,Q12797895
ocean rower,Q21081635,http://www.wikidata.org/entity/Q21081635,54,Q21081635
official,פקיד ממשל,http://www.wikidata.org/entity/Q599151,8844,Q599151
Olympic competitor,Q58825429,http://www.wikidata.org/entity/Q58825429,70,Q58825429
online streamer,סטרימר,http://www.wikidata.org/entity/Q57414145,260,Q57414145
opera singer,זמר אופרה,http://www.wikidata.org/entity/Q2865819,15830,Q2865819
optician,אופטיקאי,http://www.wikidata.org/entity/Q1996635,184,Q1996635
oracle,אורקל,http://www.wikidata.org/entity/Q217123,111,Q217123
orchestrator,מתזמר,http://www.wikidata.org/entity/Q3355249,70,Q3355249
organic chemist,Q34463094,http://www.wikidata.org/entity/Q34463094,151,Q34463094
organist,נגן עוגב,http://www.wikidata.org/entity/Q765778,7797,Q765778
organizational founder,מייסד ארגונים,http://www.wikidata.org/entity/Q4479442,470,Q4479442
ornithologist,אורניתולוג,http://www.wikidata.org/entity/Q1225716,3965,Q1225716
pacifist,פציפיסט,http://www.wikidata.org/entity/Q16003550,92,Q16003550
painter,צייר,http://www.wikidata.org/entity/Q1028181,188848,Q1028181
paleoentomologist,Q27645949,http://www.wikidata.org/entity/Q27645949,52,Q27645949
papermaker,יצרן נייר,http://www.wikidata.org/entity/Q3362826,158,Q3362826
parasitologist,פרזיטולוג,http://www.wikidata.org/entity/Q12773412,1091,Q12773412
partisan,פרטיזן,http://www.wikidata.org/entity/Q212948,3392,Q212948
pastry chef,מגדנאי,http://www.wikidata.org/entity/Q1191511,308,Q1191511
patent inventor,ממציא פטנטים,http://www.wikidata.org/entity/Q715679,60,Q715679
patron of the arts,פטרון אמנות,http://www.wikidata.org/entity/Q15472169,1314,Q15472169
peace activist,פעיל שלום,http://www.wikidata.org/entity/Q16323111,963,Q16323111
peasant,איכר,http://www.wikidata.org/entity/Q838811,1060,Q838811
penciller,עפרונאי,http://www.wikidata.org/entity/Q17098559,835,Q17098559
pensioner,אזרח ותיק,http://www.wikidata.org/entity/Q1749879,14872,Q1749879
pentathlete,Q21141408,http://www.wikidata.org/entity/Q21141408,856,Q21141408
percussionist,נגן כלי הקשה,http://www.wikidata.org/entity/Q4351403,1590,Q4351403
performance artist,אמן מיצג,http://www.wikidata.org/entity/Q10774753,2180,Q10774753
pesäpallo player,שחקן פספאלו,http://www.wikidata.org/entity/Q18667447,769,Q18667447
Ph.D. candidate,דוקטורנט,http://www.wikidata.org/entity/Q12764792,953,Q12764792
philanthropist,נדבן,http://www.wikidata.org/entity/Q12362622,3015,Q12362622
philatelist,אספן בולים,http://www.wikidata.org/entity/Q1475726,465,Q1475726
philosopher,פילוסוף,http://www.wikidata.org/entity/Q4964182,27836,Q4964182
philosopher of law,פילוסוף של המשפט,http://www.wikidata.org/entity/Q23760244,76,Q23760244
photographer,צלם,http://www.wikidata.org/entity/Q33231,64401,Q33231
phycologist,פיקולוג,http://www.wikidata.org/entity/Q12358881,551,Q12358881
physical chemist,כימאי פיזיקלי,http://www.wikidata.org/entity/Q16744668,503,Q16744668
physician,רופא,http://www.wikidata.org/entity/Q39631,76816,Q39631
physiotherapist,פיזיותרפיסט,http://www.wikidata.org/entity/Q694748,781,Q694748
pianist,פסנתרן,http://www.wikidata.org/entity/Q486748,22526,Q486748
pirate,פיראט,http://www.wikidata.org/entity/Q10729326,610,Q10729326
plant breeder,Q60441566,http://www.wikidata.org/entity/Q60441566,53,Q60441566
plantation owner,Q21550888,http://www.wikidata.org/entity/Q21550888,776,Q21550888
plasterer,Q15284879,http://www.wikidata.org/entity/Q15284879,279,Q15284879
Playboy Playmate,נערת פלייבוי,http://www.wikidata.org/entity/Q728711,908,Q728711
playwright,מחזאי,http://www.wikidata.org/entity/Q214917,18002,Q214917
podcaster,פודקאסטר,http://www.wikidata.org/entity/Q15077007,1347,Q15077007
polar explorer,Q13382749,http://www.wikidata.org/entity/Q13382749,61,Q13382749
political activist,פעיל פוליטי,http://www.wikidata.org/entity/Q11499147,1821,Q11499147
political appointee,Q2101540,http://www.wikidata.org/entity/Q2101540,58,Q2101540
political candidate,Q19772737,http://www.wikidata.org/entity/Q19772737,12035,Q19772737
political prisoner,אסיר פוליטי,http://www.wikidata.org/entity/Q217105,206,Q217105
politician,פוליטיקאי,http://www.wikidata.org/entity/Q82955,738496,Q82955
polymath,איש אשכולות,http://www.wikidata.org/entity/Q270141,67,Q270141
pop singer,זמר פופ,http://www.wikidata.org/entity/Q60723829,577,Q60723829
porcelain painter,Q24056480,http://www.wikidata.org/entity/Q24056480,388,Q24056480
pornographic actor,שחקן פורנוגרפיה,http://www.wikidata.org/entity/Q488111,6155,Q488111
portrait painter,צייר פורטרטים,http://www.wikidata.org/entity/Q2180411,202,Q2180411
postal official,Q50118159,http://www.wikidata.org/entity/Q50118159,285,Q50118159
postal worker,עובד דואר,http://www.wikidata.org/entity/Q7234072,72,Q7234072
postmaster,מנהל בית דואר,http://www.wikidata.org/entity/Q1416611,495,Q1416611
prefect,פריפקט,http://www.wikidata.org/entity/Q1285463,98,Q1285463
president,נשיא,http://www.wikidata.org/entity/Q1255921,415,Q1255921
print publisher,Q65123129,http://www.wikidata.org/entity/Q65123129,89,Q65123129
printer-bookseller,Q40881196,http://www.wikidata.org/entity/Q40881196,1441,Q40881196
prisoner,אסיר,http://www.wikidata.org/entity/Q1862087,114,Q1862087
Privatdozent,פריבט-דוצנט,http://www.wikidata.org/entity/Q1402736,219,Q1402736
private sector employee,Q63755149,http://www.wikidata.org/entity/Q63755149,303,Q63755149
professional gamer,Q4379701,http://www.wikidata.org/entity/Q4379701,1306,Q4379701
proofreader,עורך משנה,http://www.wikidata.org/entity/Q356139,254,Q356139
proprietor,בעלים,http://www.wikidata.org/entity/Q16869121,213,Q16869121
Protestant reformer,רפורמטור פרוטסטנטי,http://www.wikidata.org/entity/Q763779,59,Q763779
psychic,מדיום,http://www.wikidata.org/entity/Q2917466,127,Q2917466
public figure,איש ציבור,http://www.wikidata.org/entity/Q662729,1742,Q662729
publican,Q24729786,http://www.wikidata.org/entity/Q24729786,72,Q24729786
publicist,מנהל תדמית,http://www.wikidata.org/entity/Q4178004,437,Q4178004
publisher,מוציא לאור,http://www.wikidata.org/entity/Q2516866,17462,Q2516866
Qari,קארי,http://www.wikidata.org/entity/Q3595924,274,Q3595924
queen regnant,המלכה האם,http://www.wikidata.org/entity/Q19643,126,Q19643
quizzer,Q41593843,http://www.wikidata.org/entity/Q41593843,51,Q41593843
racing automobile driver,נהג מכוניות מרוץ,http://www.wikidata.org/entity/Q10349745,6939,Q10349745
radio journalist,Q24702769,http://www.wikidata.org/entity/Q24702769,194,Q24702769
railway executive,Q45920048,http://www.wikidata.org/entity/Q45920048,81,Q45920048
rapper,ראפר,http://www.wikidata.org/entity/Q2252262,7193,Q2252262
real estate developer,"מפתח נכסי נדל""ן",http://www.wikidata.org/entity/Q17487600,148,Q17487600
reality television participant,משתתף תוכנית ריאליטי,http://www.wikidata.org/entity/Q27658988,1358,Q27658988
rebel,מורד,http://www.wikidata.org/entity/Q1125062,303,Q1125062
recluse,Q2303143,http://www.wikidata.org/entity/Q2303143,149,Q2303143
regional historian,היסטוריון של איזור,http://www.wikidata.org/entity/Q17488465,742,Q17488465
rejoneador,Q2376278,http://www.wikidata.org/entity/Q2376278,72,Q2376278
remixer,רמיקסר,http://www.wikidata.org/entity/Q57936775,56,Q57936775
Renaissance humanist,Q1636680,http://www.wikidata.org/entity/Q1636680,244,Q1636680
rentier,Q7313543,http://www.wikidata.org/entity/Q7313543,53,Q7313543
research assistant,עוזר מחקר,http://www.wikidata.org/entity/Q5405633,70,Q5405633
researcher,חוקר,http://www.wikidata.org/entity/Q1650915,1766428,Q1650915
reserve officer,Q881836,http://www.wikidata.org/entity/Q881836,50,Q881836
resistance fighter,לוחם מחתרת,http://www.wikidata.org/entity/Q1397808,4521,Q1397808
retired,Q64825398,http://www.wikidata.org/entity/Q64825398,403,Q64825398
reviewer,Q10650082,http://www.wikidata.org/entity/Q10650082,166,Q10650082
revolutionary,מהפכן,http://www.wikidata.org/entity/Q3242115,5490,Q3242115
robber,שודד,http://www.wikidata.org/entity/Q10659189,126,Q10659189
rower,חותר,http://www.wikidata.org/entity/Q13382576,15099,Q13382576
rowing administrator,Q21578283,http://www.wikidata.org/entity/Q21578283,122,Q21578283
royalty,משפחת המלוכה,http://www.wikidata.org/entity/Q11573099,101,Q11573099
ruler,שליט,http://www.wikidata.org/entity/Q1097498,1814,Q1097498
runner,רץ,http://www.wikidata.org/entity/Q12803959,651,Q12803959
runologist,חוקר רונות,http://www.wikidata.org/entity/Q16658624,72,Q16658624
sailor,שייט,http://www.wikidata.org/entity/Q476246,4341,Q476246
satirist,סאטיריקן,http://www.wikidata.org/entity/Q9334029,304,Q9334029
saxophonist,סקסופוניסט,http://www.wikidata.org/entity/Q12800682,3847,Q12800682
scenic designer,מעצב במה,http://www.wikidata.org/entity/Q51085009,149,Q51085009
school director,Q50940853,http://www.wikidata.org/entity/Q50940853,63,Q50940853
schoolchild,תלמיד,http://www.wikidata.org/entity/Q48942,1031,Q48942
schoolmaster,Q1459149,http://www.wikidata.org/entity/Q1459149,351,Q1459149
science communicator,Q15143191,http://www.wikidata.org/entity/Q15143191,608,Q15143191
science journalist,עיתונאי מדע,http://www.wikidata.org/entity/Q17433421,199,Q17433421
scientific collector,Q98544732,http://www.wikidata.org/entity/Q98544732,276,Q98544732
scientific explorer,Q10498147,http://www.wikidata.org/entity/Q10498147,166,Q10498147
scout,Q18121791,http://www.wikidata.org/entity/Q18121791,53,Q18121791
scout leader,Q2540793,http://www.wikidata.org/entity/Q2540793,77,Q2540793
Scrabble player,שחקן שבץ נא,http://www.wikidata.org/entity/Q20708269,99,Q20708269
scrivener,כותב בקשות,http://www.wikidata.org/entity/Q1318187,279,Q1318187
sculptor,פסל,http://www.wikidata.org/entity/Q1281618,48175,Q1281618
seamstress,Q67205775,http://www.wikidata.org/entity/Q67205775,426,Q67205775
secretary,מזכיר,http://www.wikidata.org/entity/Q80687,1814,"Q80687,Q319544"
secretary of state,מזכיר מדינה,http://www.wikidata.org/entity/Q736559,121,Q736559
security hacker,תקיפת מחשב,http://www.wikidata.org/entity/Q2798820,60,Q2798820
seer,Q2191756,http://www.wikidata.org/entity/Q2191756,64,Q2191756
senator,סנאטור,http://www.wikidata.org/entity/Q15686806,166,Q15686806
serial killer,רוצח סדרתי,http://www.wikidata.org/entity/Q484188,1203,Q484188
sertanista,Q10370560,http://www.wikidata.org/entity/Q10370560,131,Q10370560
settler,התיישבות,http://www.wikidata.org/entity/Q1818899,213,Q1818899
sexologist,סקסולוג,http://www.wikidata.org/entity/Q2920595,222,Q2920595
ship-owner,בעל ספינה,http://www.wikidata.org/entity/Q500251,1788,Q500251
shopkeeper,חנווני,http://www.wikidata.org/entity/Q7501153,900,Q7501153
